"filename", "language", "EditorConfig", "Ignore", "JavaScript", "JSON", "Markdown", "TypeScript", "Less", "XML", "TypeScript React", "HTML", "comment", "blank", "total"
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TagCloud\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 181, 0, 3, 29, 213
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.less", "Less", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 0, 14, 133
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\WaterWave\index.less", "Less", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\WaterWave\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 200, 0, 4, 33, 237
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\autoHeight.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 13, 80
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\bizcharts.d.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\bizcharts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\index.less", "Less", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\Charts\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 4, 46
"f:\毕业设计\TeachingManagement_font-end_umi\src\pages\dashboard\analysis\components\IntroduceRow.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 5, 130
